	Mode	Frequency [Hz]
1.	0.
2.	0.
3.	0.
4.	0.
5.	3.0802e-004
6.	3.1324e-003
7.	56.147
8.	56.218
9.	130.48
10.	190.72
11.	202.48
12.	336.31
13.	336.32
14.	541.82
15.	557.16
16.	557.53
17.	587.93
18.	644.9
19.	645.74
20.	666.71
21.	738.43
22.	963.97
23.	1024.1
24.	1024.3
25.	1123.
26.	1258.4
27.	1258.5
28.	1394.3
29.	1455.1
30.	1538.1
31.	1893.8
32.	1893.9
33.	1943.8
34.	2031.2
35.	2040.3
36.	2040.4
37.	2171.1
38.	2211.
39.	2211.8
40.	2371.5
41.	2372.5
42.	2732.8
43.	2750.7
44.	2781.8
45.	2815.2
46.	2901.
47.	2901.1
48.	2985.7
49.	3171.4
50.	3422.
51.	3422.1
52.	3686.9
53.	3687.3
54.	3709.3
55.	3902.7
56.	3902.8
57.	3925.3
58.	3934.
59.	4021.9
60.	4141.4
61.	4141.5
62.	4200.4
63.	4263.7
64.	4264.
65.	4298.5
66.	4448.8
67.	4604.6
68.	4722.2
69.	4722.7
70.	4797.
71.	4825.2
72.	4831.5
73.	5018.
74.	5120.9
75.	5142.2
76.	5143.2
77.	5230.
78.	5230.2
79.	5243.1
80.	5467.4
81.	5468.4
82.	5488.6
83.	5734.5
84.	5750.6
85.	5993.6
86.	5994.1
87.	6109.2
88.	6161.3
89.	6224.5
90.	6288.4
91.	6288.4
92.	6560.2
93.	6560.4
94.	6580.2
95.	6593.5
96.	6683.
97.	6737.1
98.	6813.7
99.	6815.4
100.	7056.6
101.	7057.8
102.	7206.
103.	7208.8
104.	7250.7
105.	7337.3
106.	7412.9
107.	7446.5
108.	7447.7
109.	7923.8
110.	8051.3
111.	8052.9
112.	8082.5
113.	8174.1
114.	8192.3
115.	8192.5
116.	8216.3
117.	8322.5
118.	8371.1
119.	8371.2
120.	8435.3
121.	8493.6
122.	8505.
123.	8749.9
124.	8825.
125.	8894.4
126.	8910.2
127.	8910.8
128.	8919.2
129.	8970.2
130.	9436.5
131.	9437.
132.	9496.1
133.	9725.8
134.	9726.4
135.	9756.8
136.	9819.
137.	9825.5
138.	9825.9
139.	9922.
140.	10143
141.	10143
142.	10189
143.	10246
144.	10246
