	Mode	Frequency [Hz]
1	1	0
2	2	0
3	3	0
4	4	1.35E-04
5	5	3.27E-04
6	6	4.11E-04
7	7	122.15
8	8	175.69
9	9	213.63
10	10	331.44
11	11	331.44
12	12	545.51
13	13	545.53
14	14	620.88
15	15	665.9
16	16	710.87
17	17	958.29
18	18	958.3
19	19	1080.8
20	20	1238.4
21	21	1239.9
22	22	1239.9
23	23	1402.9
24	24	1489.4
25	25	1808.8
26	26	1810.3
27	27	1810.4
28	28	1937.5
29	29	1987.5
30	30	1987.7
31	31	2002.1
32	32	2237.2
33	33	2237.3
34	34	2537.1
35	35	2598.8
36	36	2689.6
37	37	2715.8
38	38	2731.3
39	39	2868.1
40	40	2868.3
41	41	2956.6
42	42	2980.5
43	43	3157.1
44	44	3367.1
45	45	3367.5
46	46	3560.3
47	47	3560.6
48	48	3765.1
49	49	3911
50	50	3911.1
51	51	3914.8
52	52	4009.6
53	53	4179.9
54	54	4204.9
55	55	4205
56	56	4209.6
57	57	4398.2
58	58	4398.3
59	59	4601.5
60	60	4717.3
61	61	4781.4
62	62	4803.9
63	63	4813.2
64	64	4929.1
65	65	4964.1
66	66	4964.3
67	67	5217.1
68	68	5217.1
69	69	5277.7
70	70	5287.1
71	71	5484.7
72	72	5484.7
73	73	5805.2
74	74	5834.1
75	75	5834.6
76	76	5850.2
77	77	5850.5
78	78	6057.3
79	79	6358.2
80	80	6399
81	81	6484.1
82	82	6534.8
83	83	6570.2
84	84	6570.7
85	85	6678.2
86	86	6922.2
87	87	6923
88	88	7028.9
89	89	7244.4
90	90	7287.5
91	91	7288.1
92	92	7460.2
93	93	7460.4
94	94	7495.7
95	95	7915.1
96	96	8026.5
97	97	8033.7
98	98	8075.9
99	99	8161.2
100	100	8161.3
101	101	8220.9
102	102	8287
103	103	8321.5
104	104	8357.6
105	105	8418
106	106	8472.1
107	107	8570.7
108	108	8571.9
109	109	8651.9
110	110	8652
111	111	8831
112	112	8831.6
113	113	8964.7
114	114	9224.9
115	115	9226.5
116	116	9269
117	117	9464.1
118	118	9473.6
119	119	9539
120	120	9540.3
121	121	9753.6
122	122	9810.4
123	123	9891.6
124	124	9924.7
125	125	9924.8
126	126	10145
127	127	10191
128	128	10191
129	129	10311
130	130	10311
131	131	10458
132	132	10460
133	133	10461
134	134	10536
135	135	10707
136	136	10760
137	137	10760
138	138	11006
139	139	11099
140	140	11262
141	141	11409
142	142	11534
143	143	11536
144	144	11569
145	145	11621
146	146	11754
147	147	11781
148	148	11781
149	149	12058
150	150	12163
151	151	12221
152	152	12223
153	153	12385
154	154	12397
155	155	12433
156	156	12462
157	157	12464
158	158	12519
159	159	12519
160	160	12697
161	161	12697
162	162	12851
163	163	12936
164	164	13154
165	165	13208
166	166	13211
167	167	13258
168	168	13374
169	169	13455
170	170	13461
171	171	13518
172	172	13549
173	173	13597
174	174	13597
175	175	13662
176	176	13666
177	177	13683
178	178	13684
179	179	13882
180	180	13884
181	181	14135
182	182	14211
183	183	14290
184	184	14319
185	185	14478
186	186	14479
187	187	14626
188	188	14626
189	189	14686
190	190	14776
191	191	14776
192	192	14927
193	193	14929
194	194	15024
195	195	15024
196	196	15150
197	197	15190
198	198	15272
199	199	15425
200	200	15620
201	201	15653
202	202	15654
203	203	15682
204	204	15776
205	205	15826
206	206	15827
207	207	15842
208	208	15920
209	209	15923
210	210	15975
211	211	16252
212	212	16253
213	213	16274
214	214	16301
215	215	16306
216	216	16310
217	217	16438
218	218	16439
219	219	16541
220	220	16675
221	221	17082
222	222	17200
223	223	17261
224	224	17261
225	225	17312
226	226	17362
227	227	17362
228	228	17366
229	229	17386
230	230	17445
231	231	17794
232	232	17803
233	233	17809
234	234	17812
235	235	17881
236	236	17882
237	237	17936
238	238	17954
239	239	18060
240	240	18267
241	241	18267
242	242	18395
243	243	18479
244	244	18490
245	245	18491
246	246	18670
247	247	18672
248	248	18678
249	249	18680
250	250	18690
251	251	18781
252	252	18872
253	253	19009
254	254	19068
255	255	19208
256	256	19212
257	257	19286
258	258	19373
259	259	19373
260	260	19596
261	261	19713
262	262	19880
263	263	19942
264	264	19948
265	265	19967
266	266	19976
267	267	20075
268	268	20077
269	269	20142
270	270	20145
271	271	20145
272	272	20223
273	273	20224
274	274	20243
275	275	20390
276	276	20393
277	277	20459
278	278	20460
279	279	20489
280	280	20608
281	281	20610
282	282	20772
283	283	20847
284	284	21015
285	285	21198
286	286	21217
287	287	21217
288	288	21250
289	289	21250
290	290	21258
291	291	21298
292	292	21300
293	293	21712
294	294	21724
295	295	21736
296	296	21738
297	297	21889
298	298	22284
299	299	22309
300	300	22313
301	301	22375
302	302	22440
303	303	22446
304	304	22470
305	305	22470
306	306	22526
307	307	22526
308	308	22543
309	309	22550
310	310	22606
311	311	22607
312	312	22614
313	313	22618
314	314	22866
315	315	22898
316	316	22929
317	317	23015
318	318	23103
319	319	23107
320	320	23190
321	321	23194
322	322	23254
323	323	23514
324	324	23515
325	325	23553
326	326	23724
327	327	23923
328	328	23969
329	329	23974
330	330	24208
331	331	24208
332	332	24228
333	333	24269
334	334	24398
335	335	24398
336	336	24421
337	337	24422
338	338	24443
339	339	24599
340	340	24601
341	341	24697
342	342	24723
343	343	24801
344	344	24865
345	345	24877
346	346	24913
347	347	24959
348	348	24960
349	349	25016
350	350	25136
351	351	25181
352	352	25243
353	353	25263
354	354	25334
355	355	25334
356	356	25413
357	357	25418
358	358	25474
359	359	25480
360	360	25595
361	361	25597
362	362	25598
363	363	25598
364	364	25633
365	365	25636
366	366	25858
367	367	25947
368	368	26039
369	369	26048
370	370	26049
371	371	26104
372	372	26157
373	373	26171
374	374	26360
375	375	26628
376	376	26651
377	377	26653
378	378	26657
379	379	26672
380	380	26672
381	381	26811
382	382	26814
383	383	26837
384	384	26838
385	385	26841
386	386	26896
387	387	26933
388	388	27046
389	389	27058
390	390	27274
391	391	27323
392	392	27409
393	393	27422
394	394	27515
395	395	27516
396	396	27591
397	397	27632
398	398	27697
399	399	27701
400	400	27723
401	401	27725
402	402	27910
403	403	27931
404	404	28150
405	405	28159
406	406	28271
407	407	28272
408	408	28276
409	409	28379
410	410	28379
411	411	28443
412	412	28545
413	413	28548
414	414	28593
415	415	28595
416	416	28597
417	417	28641
418	418	28729
419	419	28759
420	420	28774
421	421	28873
422	422	28874
423	423	29266
424	424	29324
425	425	29379
426	426	29478
427	427	29482
428	428	29562
429	429	29743
430	430	29810
431	431	29812
432	432	29917
433	433	29940
434	434	29988
435	435	29997
